@relation crosswalk

@attribute ﻿diagnosis {Asthma,Pneumonia,COPD}
@attribute procedure {'Cardiac cath','Ot vasc cath','Mech ventil','Ent nutritio','Blood transf','Ot vessels',PTCA,'Ctrl epistax',Bronchoscopy,'n-OR CV prs','nOR UGI Rx',Colonoscopy,'Convert rhyt','Ot Rx procs',Thoracentesi,'NG tube',Tracheostomy,Gastrostomy,'Ot Dx skin','Leg arteriog',Swan-Ganz,'n-OR respira','Dx spinaltap','Dx prc urin',Hemodialysis,'Bon mar bx',Echocardiogr,'OR respirato','Dx respirat','nOR GI Rx pr','Abd paracent','UGI endosc','Radiation therapy','nOR forn bod','Inject spine',Pacemaker,'Debrid wound','Bx liver','nOR Rx urin','ETOH/drug Rx','Ot Dx CV prs','Oth diag procs','AV fistula','Psych Dx Rx','Ot Rx ear pr',Proctoscopy,Laparoscopy,'nOR Rx skin','Ot arterio','OR GI Rx prs','Dx nose mout',Tracheoscopy,'Ot nOR nerv',Pneumonectom,'Ot OR heart','nOR LGI prcs','Perit dialys','Esoph dilat','CA chemoRx','Amputat leg','Ot Dx US','Explor lap',Aortogram,'Ot resp Rx','Rx fx hip','Dx prs lung','nOR nose mou',Ileostomy,'Heart valve',CABG,'Aort resect','Extrcor circ','Ot Rx hemic','Dx prs muscu',Traction,Arthcentesis,'Urine cath','Urin endosco','OR Rx skin','Ot Dx rad','Ureter cath','Vesl hed/nck','Cereb arter','OR muscskel','Sm bowel res','Colorec resc',Cholecystec,'Exc perit ad','Dx PT','Ot orgn tran','Plst pr nose','Suture skin','CT chest','Excis bone',ERCP/ERC/ERP,'I&D skin',Vaccinations}
@attribute symptoms {ASTHMA,BRONCHITIS,'UNSTABLE ANGINA','ASTHMA COPD EXACERBATION','PNA INFILTRATE',PNEUMONIA,SEPSIS,DYSPNEA,'ALTERED MENTAL STATUS','ACUTE LYMPHOCYTIC LEUKEMIA','FEBRILE NEUTROPENIA','CHRONIC OBSTRUCTIVE PULMNARY DISEASE','RESPIRATORY INSUFFICIENCY','SHORTNESS OF BREATH','BILATERAL PNEUMONIA','RESPIRATORY DISTRESS',FEVER,'HODGKINS DISEASE','SUPRAGLOTTIC AIRWAY OBSTRUCTION','ASTHMA EXACERBATION','RESPIRATORY FAILURE',NEUTROPENIA,TELEMETRY,'SUBDURAL HEMATOMA',HYPERTENSION,'S/P MI',ENCEPHALOPATHY,'LIVER FAILURE',PNEUMONIA-BOOP,ANEMIA,HYPOXIA,'DKA PNEUMONIA SEPSIS','S/P CORONARY ARTERY BYPASS GRAFT','MULTIPLE MYELOMA','STATUS POST BONE MARROW TRANSPLANT',TACHYCARDIA,'AIRWAY OBSTRUCTION','BRONCHOSCOPY WITH STENT','RELAPSING POLYCHONDRITIS','CARDIAC ARREST','NECROTISING PNEUMONIA','RAPID HEART RATE',SEIZURE,'CHEST PAIN',DEHYDRATION,HYPONATREMIA,'CONGESTIVE HEART FAILURE','URINARY TRACT INFECTION','PULMONARY EDEMA','ACUTE ASTHMA EXACERBATION','BULLOUS LUNG DISEASE','NON-HODGKINS DISEASE','RIGHT EMPYEMA','VARICELLA PNEUMONIA','EXPANDING LUNG LESION','AORTIC DISSECTION',NAUSEA,'ADULT RESPIRATORY DISTRESS SYNDROME','LUNG ABSCESS','STATUS ASTHMATICUS',ARDS,'S/P L.ELBOW FRACTUR','BREAST CANCER',HEADACHE,'PNEUMONIA-R/O TB','S/P SEPSIS','HIP FRACTURE','TRIPLE AAA','DIABETIC KETOACIDOSIS','RULE-OUT MYOCARDIAL INFARCTION','ACUTE RENAL FAILURE',BRONCHIECTASIS,'METASTATIC LUNG CANCER','BACK PAIN','LUNG CA','RENAL FAILURE',CACHEXIA,HYPOTENSION,EMPHYSEMA,'LT HIP FRACTURE','PLEURAL EFFUSION',VOMITING,HYPERKALEMIA,'METASTATIC BREAST CANCER','ULCERATIVE COLITIS','VOLUME OVERLOAD','RIGHT PNEUMOTHORAX','ABDOMINAL PAIN','PULMONARY FIBROSIS',FUNGEMIA,HEMOPTYSIS,'MULTIPLE SMALL PULMONARY EMBOLISM','RIGHT LOWER LOBE CAVITARY NODULE','LUNG CANCER',MI,'TRACH INFECTION','INTRACRANIAL BLEED','ACUTE CHRONIC RESPIRATORY FAILURE','NON SMALL CELL CANCER',BRADYCARDIA,'ACUTE CORONARY SYNDROME','R/O CHF','AIRWAY DISEASE','SLEEP APNEA','PULMONARY EMBOLIS',PE,'POST OBSTRUCTIVE PNEUMONIA','RISING LACTATE','HOSPITAL VS COMMUNITY ACQUIRED',WEAKNESS,'METHICILLIN RESISTANT STAPH AUREUS','VANCOMYCIN RESISTANT ENTEROCOCCUS','RENAL INSUFFICIENCY','RECTAL BLEED',FALL,'R/O PNEUMONIA',ALS,'S/P KIDNEY TRANSPLANT','TRACHEAL STENOSIS',ASCITES,'POSSIBLE PNEUMONIA','(AML) ACUTE MYELOGENOUS LEUKEMIA','S/P BONE MARROW TRANSPLANT','BRAIN MASS','S/P FALL','R/O MI','ETOH WITHDRAWAL',ESOPHAGITIS,'RULE OUT MYOCARDIAL INFARCTION','MUCUS PLUGGING','SEPTIC SHOCK',OVERDOS,'RIGHT PARIETAL MASS',HYPOXEMIA,STROKE,'TRANSIENT ISCHEMIC ATTACK','NON-HODGKINS LYMPHOMAS','FAILURE TO THRIVE','RIB FRACTURE','MULTI SYSTEM FAILURE','R/O MI PNEUMONIA','BILATERAL AIRWAY OBSTRUCTION','LUNG ANGIOMA','WOLFRAM DISEASE','MYOCARDIAL INFARCTION','S/P TRANSPLANT','RULE OUT TUBERCULOSIS',CELLULITIS,'GASTROINTESTINAL BLEED',SOMULENCE,'PNEUMONIA VS. BRONCHITIS','R/O M.I.-COPD EXACERBATION','TRACHEAL OBSTRUCTION','HEPATIC ENCEPHALOPATHY','RUPTURED BLEB/SDA','BOWEL OBSTRUCTION','CHRONIC LYMPHOCYTIC LEUKEMIA','RO MI','S/P TRACHEOPLASTY','METASTATIC CANCER','UNKOWN PRIMARY',PNA,CHF,LYMPHOMA,'S/P ARREST','ATRIAL FIBRILLATION','R/O FLU','LLL PNEUMONIA','PULMONARY INFILTRATE','UPPER GASTROINTESTINAL BLEED',GLIOBLASTOMA,'BRONCHIAL ASTHMA','PACE MAKER REPLACEMENT',UROSEPSIS,'ALCOHOL WITHDRAWAL',INFLUENZA,LEUKEMIA,SEPTIC,A-FIB,'PCP PNEUMONIA VS. COPD EXACERBATION','INTERSTITIAL LUNG DISEASE','RLL PNEUMONIA-R/O MI',MELENA,'LIVER AND RENAL FAILURE','ADULT RESPIRATORY DISTRRESS SYNDROME',HYPERGLYCEMIA,'MULTIFOCAL PNEUMONIA','OBSTRUCTIVE SLEEP APNEA /SDA','THORACIC AORTIC ULCERATION',HYPOCALCEMIA,'R/O TB','S/P GASTRIC BY PASS','GASTRIC CA',ASPIRATION,'NON Q MI','LEFT MAIN STEM OBSTRUCTION',COUGH,GAIT,'RESPIRATORY ARREST','GROSS HEMOPTYSIS','TRACHEOBRONCHIAL MALACIA','RIGHT LOWER LOBE NODULE/SDA','MULTILOBULAR PNEUMONIA',HYPOTHYROID,'PERSISTANT TACHYCARDIA',CHOLECYSTITIS,'CRONIC MYELOGENOUS LEUKEMIA\\FEVER','RAPID AFIB','ASPIRATION PNEUMONIA','FAILURE TO WEAN','S/P RENAL TRANSPLANT','NONHODGKINS LYMPHOMA','TRACHEAL BRONCHIALMALACIA/SDA','ALCHOLIC CIRRHOSIS','EGD ** REMOTE EAST STONEMAN 3 **',SYNCOPE,AFIB,'APLASTIC ANEMIA',PNH,'CHF CELLULITIS',PYELONEPHRITIS,'CARDIAC CATH','R/O PULMONARY INFECTION','NON HODGKINS LYMPHOMA',RVR,'S/P PEA ARREST','LOWER GI BLEED',NSTEMI,ENDOCARDITIS,'VOLUME OVERLOAD HYPERKALEMIA','MULTILOBAR PNA','PULMONARY EMOBULIS',TACHYPNEA,HCAP,'RIGHT SIDED PLEURAL EFFUSION',MENINGITIS,'CHEST PAIN\\CATH','CORONARY ARTERY DISEASE',HNNK,'PULMONARY HYPERTENSION','MULTIPLE SCLEROSIS','AORTIC STENOSIS','BENTAL PROCEDURE ? MVR/ SDA',TRAUMA,'RULE-OUT PULMONARY EMBOLIS','POST ARREST','FUNGAL RESPIRATORY INFECTION','RIGHT FLANK PAIN','HYPERCABRIC RESPIRATORY FAILURE',PAN,'PERICARDIAL EFFUSION','AIRWAY STENOSIS','VENTRICULAR FIBRILLATION\\ICD','LE EDEMA',HYPOGLYCEMIA,'ACUTE LYMPHATIC LEUKEMIA','RIGHT BLOODY PLEURAL EFFUSION',MDS,ILI,'LACTIC ACIDOSIS','REACTIVE AIRWAY DISEASE',ARF,HEPATITIS,DIVERTICULITIS,'NEUTROPENIC FEVER','POLYSUBSTANCE ABUSE',STEMI,'RIGHT COLLASPE LUNG',BACTEREMIA,'RIGHT LUNG ABSCESS','RIGHT MIDDLE LOBE MASS','ACUTE PNEUMONITIS',CARDIOMYOPATHY,'ABDOMINAL AORTIC ANEURYSM','CARDIAC CATHETERIZATION',EPISTAXIX,'S/P SPHINCTEROTOMY',PNA/ILI,'PULMOARY EDEMA','PULMONARY EMBOLISM',C-DIFF,'WILLIAMS SYNDROME','HYPOXIC DILANTIN TOXICITY','THROAT CANCER','CHRONIC MYELOGENOUS LEUKEMIA',EXACERBATION,'CHOLANGIO CARCINOMA','RAPID A-FIB',RAF,'TROP LEAK','BURKITTS LYMPHOMA',MYCOPLASMA,'LUNG INFILTRATED','PNEUMONIA VERSUS PULMONARY EMBOLUS','HEART MURMUR','SEPSIS VERSUS GI BLEED','PEA ARREST','MULTI LOBAR PNEUMONIA',DEPRESSION,'FOOUND DOWN',SHOCK,'PANCREATIC MASS','PNEUMONIA PLEURAL EFFUSIONS',AKI,'INCREASING SOB R/T INTERSTITIAL LUNG DISEASE','CARDIAC MASS'}

@data
Asthma,'Cardiac cath',ASTHMA
Asthma,'Cardiac cath',BRONCHITIS
Asthma,'Cardiac cath','UNSTABLE ANGINA'
Asthma,'Ot vasc cath',ASTHMA
Asthma,'Ot vasc cath',BRONCHITIS
Asthma,'Ot vasc cath','UNSTABLE ANGINA'
Asthma,'Cardiac cath',ASTHMA
Asthma,'Cardiac cath',BRONCHITIS
Asthma,'Cardiac cath','UNSTABLE ANGINA'
Asthma,'Cardiac cath',ASTHMA
Asthma,'Cardiac cath',BRONCHITIS
Asthma,'Cardiac cath','UNSTABLE ANGINA'
Asthma,'Mech ventil',ASTHMA
Asthma,'Mech ventil',BRONCHITIS
Asthma,'Mech ventil','UNSTABLE ANGINA'
Asthma,'Ent nutritio',ASTHMA
Asthma,'Ent nutritio',BRONCHITIS
Asthma,'Ent nutritio','UNSTABLE ANGINA'
Asthma,'Mech ventil',ASTHMA
Asthma,'Mech ventil',BRONCHITIS
Asthma,'Mech ventil','UNSTABLE ANGINA'
Asthma,'Blood transf',ASTHMA
Asthma,'Blood transf',BRONCHITIS
Asthma,'Blood transf','UNSTABLE ANGINA'
Asthma,'Blood transf',ASTHMA
Asthma,'Blood transf',BRONCHITIS
Asthma,'Blood transf','UNSTABLE ANGINA'
Pneumonia,'Cardiac cath','ASTHMA COPD EXACERBATION'
Pneumonia,'Ot vasc cath','ASTHMA COPD EXACERBATION'
Pneumonia,'Cardiac cath','ASTHMA COPD EXACERBATION'
Pneumonia,'Mech ventil','ASTHMA COPD EXACERBATION'
Pneumonia,'Mech ventil','ASTHMA COPD EXACERBATION'
Pneumonia,'Mech ventil','ASTHMA COPD EXACERBATION'
Pneumonia,'Ot vessels','PNA INFILTRATE'
Pneumonia,'Ot vessels','PNA INFILTRATE'
Pneumonia,PTCA,'PNA INFILTRATE'
Pneumonia,'Ctrl epistax','PNA INFILTRATE'
Pneumonia,Bronchoscopy,'PNA INFILTRATE'
Pneumonia,'n-OR CV prs','PNA INFILTRATE'
Pneumonia,'Cardiac cath','PNA INFILTRATE'
Pneumonia,'nOR UGI Rx','PNA INFILTRATE'
Pneumonia,Colonoscopy,'PNA INFILTRATE'
Pneumonia,'Cardiac cath','PNA INFILTRATE'
Pneumonia,?,PNEUMONIA
Pneumonia,?,SEPSIS
Pneumonia,'Ot vasc cath',DYSPNEA
Pneumonia,'Ot vasc cath',DYSPNEA
Pneumonia,'Mech ventil',DYSPNEA
Pneumonia,'Ent nutritio',DYSPNEA
Pneumonia,'Mech ventil',DYSPNEA
Pneumonia,'Ot vasc cath',PNEUMONIA
Pneumonia,'Mech ventil',PNEUMONIA
Pneumonia,'Mech ventil',PNEUMONIA
Pneumonia,'Convert rhyt',PNEUMONIA
Pneumonia,?,PNEUMONIA
Pneumonia,?,PNEUMONIA
Pneumonia,'Ot Rx procs','ALTERED MENTAL STATUS'
Pneumonia,Thoracentesi,'ALTERED MENTAL STATUS'
Pneumonia,'Ot vasc cath','ALTERED MENTAL STATUS'
Pneumonia,'Mech ventil','ALTERED MENTAL STATUS'
Pneumonia,'Ent nutritio','ALTERED MENTAL STATUS'
Pneumonia,'Mech ventil','ALTERED MENTAL STATUS'
Pneumonia,?,'ACUTE LYMPHOCYTIC LEUKEMIA'
Pneumonia,?,'FEBRILE NEUTROPENIA'
Pneumonia,'Mech ventil',PNEUMONIA
Pneumonia,'Mech ventil',PNEUMONIA
Pneumonia,'Convert rhyt',PNEUMONIA
Pneumonia,Thoracentesi,PNEUMONIA
Pneumonia,'Mech ventil',PNEUMONIA
Pneumonia,'Blood transf',PNEUMONIA
COPD,?,PNEUMONIA
Pneumonia,'Mech ventil','ALTERED MENTAL STATUS'
Pneumonia,'Mech ventil','ALTERED MENTAL STATUS'
Pneumonia,'Blood transf','ALTERED MENTAL STATUS'
Pneumonia,'Ot vasc cath',PNEUMONIA
Pneumonia,'Mech ventil',PNEUMONIA
Pneumonia,'NG tube',PNEUMONIA
Pneumonia,'Ent nutritio',PNEUMONIA
Pneumonia,'Mech ventil',PNEUMONIA
COPD,Tracheostomy,'CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,Tracheostomy,'RESPIRATORY INSUFFICIENCY'
COPD,Thoracentesi,'CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,Thoracentesi,'RESPIRATORY INSUFFICIENCY'
COPD,'Ot vasc cath','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Ot vasc cath','RESPIRATORY INSUFFICIENCY'
COPD,'Ot vasc cath','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Ot vasc cath','RESPIRATORY INSUFFICIENCY'
COPD,'Ot vessels','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Ot vessels','RESPIRATORY INSUFFICIENCY'
COPD,'Ot vessels','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Ot vessels','RESPIRATORY INSUFFICIENCY'
COPD,Gastrostomy,'CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,Gastrostomy,'RESPIRATORY INSUFFICIENCY'
COPD,'Ot Dx skin','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Ot Dx skin','RESPIRATORY INSUFFICIENCY'
COPD,'Leg arteriog','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Leg arteriog','RESPIRATORY INSUFFICIENCY'
COPD,'Mech ventil','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Mech ventil','RESPIRATORY INSUFFICIENCY'
COPD,'Mech ventil','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Mech ventil','RESPIRATORY INSUFFICIENCY'
COPD,'Ent nutritio','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Ent nutritio','RESPIRATORY INSUFFICIENCY'
COPD,'Mech ventil','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Mech ventil','RESPIRATORY INSUFFICIENCY'
COPD,'Convert rhyt','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Convert rhyt','RESPIRATORY INSUFFICIENCY'
Asthma,'Mech ventil','SHORTNESS OF BREATH'
Pneumonia,Thoracentesi,PNEUMONIA
Pneumonia,Gastrostomy,PNEUMONIA
Pneumonia,Swan-Ganz,PNEUMONIA
Pneumonia,'Mech ventil',PNEUMONIA
Pneumonia,'Mech ventil',PNEUMONIA
Pneumonia,'n-OR respira',PNEUMONIA
Pneumonia,'n-OR respira',PNEUMONIA
Pneumonia,'Ent nutritio',PNEUMONIA
Pneumonia,'Mech ventil',PNEUMONIA
Pneumonia,'Dx spinaltap',PNEUMONIA
Pneumonia,Bronchoscopy,PNEUMONIA
Pneumonia,'Ot vasc cath',PNEUMONIA
Pneumonia,'Mech ventil',PNEUMONIA
Pneumonia,'Mech ventil',PNEUMONIA
Pneumonia,?,'SHORTNESS OF BREATH'
Pneumonia,'Dx spinaltap','BILATERAL PNEUMONIA'
Pneumonia,Bronchoscopy,'BILATERAL PNEUMONIA'
Pneumonia,Bronchoscopy,'BILATERAL PNEUMONIA'
Pneumonia,'Ent nutritio','BILATERAL PNEUMONIA'
Pneumonia,'Mech ventil','BILATERAL PNEUMONIA'
Pneumonia,'Ent nutritio','BILATERAL PNEUMONIA'
COPD,'Mech ventil','RESPIRATORY DISTRESS'
COPD,'Ent nutritio','RESPIRATORY DISTRESS'
COPD,'Mech ventil','RESPIRATORY DISTRESS'
COPD,'Ot vasc cath','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Mech ventil','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Dx prc urin',DYSPNEA
Pneumonia,?,PNEUMONIA
Pneumonia,Tracheostomy,DYSPNEA
Pneumonia,Gastrostomy,DYSPNEA
Pneumonia,'Ent nutritio',DYSPNEA
Pneumonia,'Mech ventil',DYSPNEA
Pneumonia,?,'ASTHMA COPD EXACERBATION'
Pneumonia,'Ot vasc cath',SEPSIS
Pneumonia,'Mech ventil',SEPSIS
Pneumonia,'Ent nutritio',SEPSIS
Pneumonia,'Mech ventil',SEPSIS
COPD,'Ot vasc cath','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Ot vasc cath','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Ot vasc cath','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Ot vasc cath','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Mech ventil','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Mech ventil','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Mech ventil','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Mech ventil','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Ent nutritio','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Ent nutritio','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Mech ventil','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
COPD,'Mech ventil','CHRONIC OBSTRUCTIVE PULMNARY DISEASE'
Pneumonia,'Ot vasc cath',PNEUMONIA
Pneumonia,'Ot vasc cath',PNEUMONIA
Pneumonia,'Ent nutritio',PNEUMONIA
Pneumonia,'Mech ventil',PNEUMONIA
Pneumonia,Bronchoscopy,FEVER
Pneumonia,Bronchoscopy,'HODGKINS DISEASE'
Pneumonia,Bronchoscopy,FEVER
Pneumonia,Bronchoscopy,'HODGKINS DISEASE'
Pneumonia,'n-OR CV prs',FEVER
Pneumonia,'n-OR CV prs','HODGKINS DISEASE'
Pneumonia,Hemodialysis,FEVER
Pneumonia,Hemodialysis,'HODGKINS DISEASE'
Pneumonia,'Bon mar bx',FEVER
Pneumonia,'Bon mar bx','HODGKINS DISEASE'
